;date;tweets;transaction_fee;transaction_value;number_of_transaction;blocksize;blocktime;marketcap;price;gas_limit;cny_usd;eur_usd;jpy_usd;gold;Oil;Nasdaq;btc_price
0;16/3/16;1185;0,0114;534,581;27596;1316;0,239;1034350358;13,233;4713327;0,1533;1,1222;0,888;1.229,80;38,46;4.763,97;417.0109863281
1;17/3/16;1211;0,011;603,49;33531;1421;0,237;907294186;11,603;4714210;0,1545;1,1317;0,8977;1.265,00;40,2;4.774,98;420.6210021973
2;18/3/16;1123;0,0088;755,711;31821;1403;0,242;798534139;10,208;4713155;0,1545;1,1267;0,8961;1.254,30;39,44;4.795,65;409.5480041504
3;19/3/16;943;0,0135;240,714;34779;1494;0,237;827076523;10,568;4713287;0,1545;1,1267;0,8961;1.254,30;39,44;4.795,65;410.4440002441
4;20/3/16;1304;0,0113;175,207;32447;1446;0,239;800919717;10,23;4713325;0,1545;1,1267;0,8961;1.254,30;39,44;4.795,65;413.7550048828
5;21/3/16;2233;0,011;301,001;32511;1498;0,24;859732317;10,977;4713399;0,1542;1,1239;0,8931;1.244,20;39,91;4.808,87;413.3070068359
6;22/3/16;859;0,00922;241,853;32890;1514;0,237;909201737;11,604;4713157;0,154;1,1214;0,8898;1.248,60;41,45;4.821,66;418.0889892578
7;23/3/16;944;0,0122;213,679;31786;1529;0,241;928689466;11,848;4713319;0,1537;1,1183;0,8896;1.224,00;39,79;4.768,86;418.0409851074
8;24/3/16;1982;0,0128;294,24;36947;1862;0,236;893408861;11,393;4714155;0,1535;1,1173;0,8856;1.221,60;39,46;4.773,51;416.3940124512
9;25/3/16;927;0,0118;162,578;36762;1621;0,237;845885813;10,782;4713540;0,1535;1,1163;0,8842;1.221,60;39,46;4.773,51;417.1770019531
10;26/3/16;712;0,0104;98,614;36646;1538;0,236;850472898;10,837;4722269;0,1535;1,1163;0,8842;1.221,60;39,46;4.773,51;417.9450073242
11;27/3/16;716;0,00685;418,216;29974;1261;0,238;838803949;10,684;4713640;0,1535;1,1163;0,8842;1.221,60;39,46;4.773,51;426.7650146484
12;28/3/16;1298;0,00878;264,113;33613;1568;0,24;878929194;11,19;4713570;0,1537;1,1193;0,8812;1.220,10;39,39;4.766,79;424.2309875488
13;29/3/16;1589;0,00815;440,588;33915;1389;0,24;908076440;11,557;4713614;0,1537;1,1289;0,8872;1.235,80;38,28;4.846,62;416.5159912109
14;30/3/16;1745;0,012;438,349;36767;1572;0,238;927489228;11,799;4713691;0,1547;1,1336;0,8894;1.228,60;38,32;4.869,29;414.8160095215
15;31/3/16;988;0,00912;327,259;32259;1405;0,239;924364010;11,754;4713832;0,155;1,1378;0,8882;1.235,60;38,34;4.869,85;416.7290039063
16;1/4/16;830;0,00844;133,316;33320;1493;0,237;913257928;11,609;4713679;0,1543;1,1386;0,8954;1.223,50;36,79;4.914,54;417.9599914551
17;2/4/16;743;0,00705;146,773;29358;1235;0,243;901646098;11,456;4713890;0,1543;1,1386;0,8954;1.223,50;36,79;4.914,54;420.8729858398
18;3/4/16;846;0,00697;84,828;29588;1245;0,239;904784965;11,492;4713803;0,1543;1,1386;0,8954;1.223,50;36,79;4.914,54;420.9039916992
19;4/4/16;1000;0,00803;141,886;34907;1502;0,237;888061513;11,275;4713616;0,1543;1,139;0,8981;1.219,30;35,7;4.891,80;421.4440002441
20;5/4/16;1067;0,00783;188,515;39173;1528;0,239;844360040;10,716;4724565;0,1544;1,1382;0,906;1.229,60;35,89;4.843,93;424.0299987793
21;6/4/16;967;0,00716;194,372;32078;1337;0,24;834615913;10,588;4713800;0,1543;1,1397;0,9107;1.223,80;37,75;4.920,72;423.4129943848
22;7/4/16;2284;0,00697;235,707;31893;1404;0,242;818727211;10,382;4713527;0,1547;1,1375;0,924;1.237,50;37,26;4.848,37;422.7449951172
23;8/4/16;862;0,00731;159,7;34010;1541;0,236;779153802;9,876;4714016;0,1547;1,1399;0,9252;1.243,80;39,72;4.850,69;420.3489990234
24;9/4/16;759;0,00602;393,4;31923;1318;0,243;758299770;9,608;4714039;0,1547;1,1399;0,9252;1.243,80;39,72;4.850,69;419.4110107422
25;10/4/16;1073;0,0052;315,763;32237;1281;0,237;680732552;8,622;4713934;0,1547;1,1399;0,9252;1.243,80;39,72;4.850,69;421.5639953613
26;11/4/16;891;0,00522;174,373;30327;1262;0,243;669818165;8,48;4713823;0,1548;1,1406;0,9263;1.258,00;40,36;4.833,40;422.483001709
27;12/4/16;1150;0,0052;247,555;34673;1451;0,239;621986332;7,872;4713621;0,1547;1,1384;0,9211;1.260,90;42,17;4.872,09;425.1900024414
28;13/4/16;907;0,00712;245,871;36051;1477;0,239;615709670;7,789;4718004;0,1543;1,1272;0,9144;1.248,30;41,76;4.947,42;423.7340087891
29;14/4/16;978;0,00764;227,304;34781;1406;0,239;662335131;8,376;4718779;0,1542;1,1266;0,9138;1.226,50;41,5;4.945,89;424.2820129395
30;15/4/16;1139;0,00556;140,877;34959;1412;0,238;658282991;8,321;4717797;0,1545;1,128;0,9191;1.234,60;40,36;4.938,22;429.7130126953
31;16/4/16;701;0,00468;117,728;30483;1215;0,239;655214637;8,279;4714147;0,1545;1,128;0,9191;1.234,60;40,36;4.938,22;430.5719909668
32;17/4/16;781;0,00695;189,691;40203;1917;0,239;732043558;9,246;4721046;0,1545;1,128;0,9191;1.234,60;40,36;4.938,22;427.3989868164
33;18/4/16;1014;0,00543;172,662;33513;1351;0,238;717728498;9,061;4713144;0,1545;1,1312;0,9188;1.235,00;39,78;4.960,02;428.591003418
34;19/4/16;962;0,00529;113,178;32622;1317;0,241;715961433;9,036;4714315;0,1548;1,1356;0,9155;1.254,30;41,08;4.940,33;435.5090026855
35;20/4/16;984;0,00621;175,825;32944;1359;0,238;680525248;8,585;4714212;0,1545;1,1295;0,9102;1.254,40;42,63;4.948,13;441.3890075684
36;21/4/16;883;0,00691;107,72;37181;1504;0,24;670997853;8,461;4715412;0,1543;1,1286;0,9135;1.250,30;43,18;4.945,89;449.424987793
37;22/4/16;924;0,00519;190,309;31678;1291;0,239;634069672;7,993;4714064;0,1538;1,123;0,8945;1.230,00;43,73;4.906,23;445.7369995117
38;23/4/16;607;0,0049;254,858;31845;1270;0,238;635122578;8,003;4714236;0,1538;1,123;0,8945;1.230,00;43,73;4.906,23;450.2820129395
39;24/4/16;543;0,0054;90,142;34046;1433;0,241;649284238;8,178;4714252;0,1538;1,123;0,8945;1.230,00;43,73;4.906,23;458.5549926758
40;25/4/16;923;0,00525;156,798;35430;1399;0,236;619007332;7,793;4716436;0,154;1,1263;0,8991;1.240,20;42,64;4.895,79;461.425994873
41;26/4/16;894;0,00486;261,222;32582;1344;0,242;581228733;7,315;4714308;0,154;1,1298;0,8982;1.243,40;44,04;4.888,28;466.0889892578
42;27/4/16;735;0,00459;175,541;33847;1314;0,238;604144169;7,6;4713917;0,154;1,1319;0,897;1.250,40;45,33;4.863,14;444.6870117188
43;28/4/16;935;0,00489;168,205;34343;1408;0,239;590068591;7,42;4714138;0,1545;1,1351;0,9246;1.266,40;46,03;4.805,29;449.0109863281
44;29/4/16;916;0,00468;121,495;37332;1423;0,239;593335952;7,458;4713590;0,1545;1,1454;0,94;1.290,50;45,92;4.775,36;455.0969848633
45;30/4/16;951;0,0058;488,655;45769;1588;0,238;657293297;8,259;4714320;0,1545;1,1454;0,94;1.290,50;45,92;4.775,36;448.3179931641
46;1/5/16;773;0,00808;388,534;39578;1681;0,242;693521626;8,711;4713107;0,1545;1,1454;0,94;1.290,50;45,92;4.775,36;451.875
47;2/5/16;1114;0,00629;440,074;41748;1480;0,237;762632719;9,575;4714088;0,1545;1,1529;0,9397;1.295,80;44,78;4.817,59;444.6690063477
48;3/5/16;2628;0,00683;359,053;37821;1446;0,238;767214032;9,629;4713737;0,154;1,1495;0,9379;1.291,80;43,65;4.763,22;450.3039855957
49;4/5/16;1261;0,00695;279,95;37484;1498;0,241;760552661;9,541;4713920;0,154;1,1485;0,9343;1.274,40;43,78;4.725,64;446.7219848633
50;5/5/16;1181;0,00768;272,617;38707;1486;0,239;761693627;9,552;4715226;0,1538;1,1404;0,9322;1.272,30;44,32;4.717,09;447.9760131836
51;6/5/16;1085;0,00825;480,248;41271;1625;0,239;772197203;9,68;4715728;0,1538;1,1402;0,9333;1.294,00;44,66;4.736,15;459.6029968262
52;7/5/16;703;0,0063;395,312;35864;1375;0,24;743822735;9,32;4714065;0,1538;1,1402;0,9333;1.294,00;44,66;4.736,15;458.5360107422
53;8/5/16;856;0,0067;329,998;40063;1530;0,238;741313300;9,285;4714106;0,1538;1,1402;0,9333;1.294,00;44,66;4.736,15;458.5480041504
54;9/5/16;1110;0,00644;496,278;38560;1460;0,238;753131019;9,429;4713748;0,1535;1,1381;0,923;1.266,60;43,44;4.750,21;460.483001709
55;10/5/16;970;0,00635;474,105;40684;1481;0,24;745214752;9,326;4714178;0,1534;1,1368;0,9151;1.264,80;44,66;4.809,88;450.8949890137
56;11/5/16;1078;0,0075;724,511;40811;1559;0,243;774018649;9,683;4714185;0,154;1,1425;0,9223;1.275,50;46,23;4.760,69;452.7279968262
57;12/5/16;905;0,00884;735,097;45002;1679;0,236;809860603;10,127;4714093;0,1535;1,1375;0,9171;1.271,20;46,7;4.737,33;454.7659912109
58;13/5/16;946;0,00956;1799;47739;1674;0,237;845342659;10,567;4713160;0,1531;1,1305;0,9206;1.272,70;46,21;4.717,68;455.6700134277
59;14/5/16;764;0,0079;1318;45745;1683;0,242;815693170;10,192;4713397;0,1531;1,1305;0,9206;1.272,70;46,21;4.717,68;455.6709899902
60;15/5/16;1009;0,00737;352,003;43073;1540;0,239;811373219;10,134;4714369;0,1531;1,1305;0,9206;1.272,70;46,21;4.717,68;457.5679931641
61;16/5/16;1588;0,00774;418,368;37424;1491;0,242;840333360;10,492;4713851;0,1533;1,1316;0,9171;1.274,20;47,72;4.775,46;454.1629943848
62;17/5/16;1346;0,00828;384,792;40309;1515;0,237;939084236;11,72;4714319;0,1533;1,1311;0,9162;1.276,90;48,31;4.715,73;453.782989502
63;18/5/16;1636;0,00989;513,16;46033;1689;0,238;1040174862;12,976;4713459;0,153;1,1215;0,9074;1.274,40;48,19;4.739,12;454.6189880371
64;19/5/16;1929;0,0104;832,337;44523;1576;0,24;1116432598;13,922;4715213;0,1527;1,1202;0,9093;1.254,80;48,16;4.712,53;438.7149963379
65;20/5/16;1638;0,0121;718,028;45177;1677;0,239;1150019309;14,335;4713841;0,1527;1,1222;0,9078;1.252,90;47,75;4.769,56;442.675994873
66;21/5/16;977;0,0112;311,51;43621;1673;0,241;1092940616;13,618;4714608;0,1527;1,1222;0,9078;1.252,90;47,75;4.769,56;443.1879882813
67;22/5/16;1162;0,0104;242,831;38895;1494;0,237;1127953425;14,049;4713821;0,1527;1,1222;0,9078;1.252,90;47,75;4.769,56;439.3229980469
68;23/5/16;1236;0,00951;401,834;43806;1568;0,239;1129087960;14,058;4714337;0,1525;1,1216;0,9153;1.251,50;48,08;4.765,78;444.1549987793
69;24/5/16;1407;0,00866;534,167;42911;1528;0,24;1044738196;13,002;4713730;0,1525;1,114;0,9091;1.229,20;48,62;4.861,06;445.9809875488
70;25/5/16;1470;0,00874;458,412;46443;1670;0,239;996852994;12,401;4713684;0,1526;1,1153;0,9071;1.223,80;49,56;4.894,89;449.5989990234
71;26/5/16;1380;0,00864;311,733;51147;1733;0,239;999903390;12,434;4713891;0,1525;1,1192;0,9109;1.220,40;49,48;4.901,77;453.3840026855
72;27/5/16;1171;0,00877;603,467;49006;1727;0,238;909743806;11,309;4714074;0,1524;1,1114;0,907;1.216,70;49,33;4.933,51;473.4639892578
73;28/5/16;1714;0,0131;357,71;70148;2436;0,239;912581401;11,339;4714821;0,1524;1,1114;0,907;1.216,70;49,33;4.933,51;530.0399780273
74;29/5/16;1409;0,0102;264,157;45890;1675;0,24;970808917;12,058;4714194;0,1524;1,1114;0,907;1.216,70;49,58;4.933,51;526.2329711914
75;30/5/16;3305;0,00923;293,51;42927;1543;0,24;1002228365;12,443;4713670;0,1519;1,1144;0,8997;1.217,50;49,51;4.933,51;533.8640136719
76;31/5/16;1465;0,00931;305,152;44386;1594;0,243;1068695532;13,263;4714210;0,1519;1,1129;0,903;1.217,50;49,1;4.948,06;531.3859863281
77;1/6/16;2023;0,0103;259,077;42221;1562;0,238;1119030150;13,882;4713960;0,1521;1,1185;0,9127;1.214,70;49,01;4.952,25;536.9199829102
78;2/6/16;1294;0,00901;174,03;39666;1453;0,237;1114320706;13,819;4714600;0,1519;1,1149;0,9184;1.212,60;49,17;4.971,36;537.9719848633
79;3/6/16;1188;0,00864;214,473;39834;1429;0,239;1100122197;13,637;4714078;0,1524;1,1365;0,9386;1.242,90;48,62;4.942,52;569.1939697266
80;4/6/16;844;0,00877;167,382;37875;1409;0,239;1099787275;13,627;4715007;0,1524;1,1365;0,9386;1.242,90;48,62;4.942,52;572.7269897461
81;5/6/16;1091;0,00863;164,804;37896;1396;0,241;1108046222;13,724;4714409;0,1524;1,1365;0,9386;1.242,90;48,62;4.942,52;574.9769897461
82;6/6/16;1072;0,00919;170,601;38957;1426;0,236;1117794437;13,84;4714589;0,1524;1,1351;0,9296;1.247,40;49,69;4.968,71;585.5369873047
83;7/6/16;1500;0,0205;304,441;46141;1693;0,24;1133578837;14,029;4719063;0,1522;1,1356;0,9312;1.247,00;50,36;4.961,75;576.5969848633
84;8/6/16;1673;0,0102;770,079;40433;1437;0,236;1169477323;14,468;4714509;0,1524;1,1392;0,9346;1.262,30;51,23;4.974,64;581.6450195313
85;9/6/16;1573;0,0104;166,695;39854;1477;0,236;1162215223;14,372;4714373;0,1524;1,1314;0,9336;1.272,70;50,56;4.958,62;574.6300048828
86;10/6/16;1324;0,0101;313,33;40145;1437;0,244;1136687541;14,051;4714931;0,1524;1,1249;0,9345;1.275,90;49,07;4.894,55;577.4699707031
87;11/6/16;1086;0,0102;197,127;36901;1382;0,236;1116897969;13,801;4713180;0,1524;1,1249;0,9345;1.275,90;49,07;4.894,55;606.7269897461
88;12/6/16;1200;0,0101;379,116;42581;1463;0,237;1188116647;14,675;4715962;0,1524;1,1249;0,9345;1.275,90;49,07;4.894,55;672.783996582
89;13/6/16;1766;0,0133;424,246;46185;1599;0,237;1343639426;16,59;4714085;0,1519;1,129;0,9411;1.286,90;48,88;4.848,44;704.3759765625
90;14/6/16;2136;0,0139;510,368;50335;1713;0,239;1471338883;18,159;4714591;0,1516;1,1206;0,9422;1.288,10;48,49;4.843,55;685.5590209961
91;15/6/16;1780;0,0129;388,891;43251;1523;0,24;1484904260;18,319;4714394;0,152;1,1257;0,9431;1.288,30;48,01;4.834,93;694.4689941406
92;16/6/16;2106;0,0183;664,823;43392;1604;0,239;1578223201;19,463;4712945;0,1517;1,1223;0,9592;1.298,40;46,21;4.844,91;766.3079833984
93;17/6/16;6219;0,0597;1095;66558;2138;0,246;1405300094;17,323;4749209;0,1518;1,1274;0,9602;1.294,80;47,98;4.800,34;748.908996582
94;18/6/16;4386;0,0553;1049;63083;2044;0,245;1044258367;12,867;4714242;0,1518;1,1274;0,9602;1.294,80;47,98;4.800,34;756.2269897461
95;19/6/16;3235;0,0129;432,904;51035;1624;0,231;988463650;12,175;4713312;0,1518;1,1274;0,9602;1.294,80;47,98;4.800,34;763.7810058594
96;20/6/16;2649;0,0129;650,176;47118;1709;0,242;951451207;11,714;4713085;0,152;1,131;0,9619;1.292,10;49,37;4.837,21;737.2260131836
97;21/6/16;2523;0,0209;451,675;47323;1629;0,24;971751563;11,96;4713173;0,1517;1,124;0,9546;1.272,50;48,85;4.843,76;666.6519775391
98;22/6/16;2402;0,015;602,1;48615;1614;0,235;1153126933;14,186;4712996;0,152;1,1295;0,9577;1.270,00;49,13;4.833,32;596.116027832
99;23/6/16;1877;0,00992;551,277;41908;1513;0,24;1057264001;13,002;4712945;0,152;1,1385;0,9418;1.263,10;50,11;4.910,04;623.9769897461
100;24/6/16;1896;0,012;343,241;45331;1638;0,238;1126745533;13,851;4713445;0,151;1,1115;0,9778;1.322,40;47,64;4.707,98;665.2990112305
101;25/6/16;1315;0,0109;485,591;36684;1415;0,24;1152869799;14,166;4710953;0,151;1,1115;0,9778;1.322,40;47,64;4.707,98;665.1229858398
102;26/6/16;1175;0,00919;208,251;41613;1453;0,238;1133039891;13,917;4202711;0,151;1,1115;0,9778;1.322,40;47,64;4.707,98;629.3670043945
103;27/6/16;1425;0,00966;228,038;39663;1410;0,238;1128650062;13,858;3143761;0,1504;1,1022;0,9802;1.324,70;46,33;4.594,44;655.2750244141
104;28/6/16;1512;0,00975;473,57;43089;1482;0,237;1066280010;13,087;3271202;0,1504;1,1065;0,973;1.317,90;47,85;4.691,87;647.0009765625
105;29/6/16;1945;0,0138;308,686;49897;1792;0,24;990166197;12,148;4712216;0,1507;1,1123;0,9724;1.326,90;49,88;4.779,24;639.8900146484
106;30/6/16;1303;0,0171;168,896;63952;2367;0,241;1013722060;12,432;4713204;0,1505;1,1104;0,9678;1.320,60;48,33;4.842,67;673.3369750977
107;1/7/16;1241;0,0138;260,143;40085;1380;0,235;989290440;12,127;4712682;0,1502;1,1135;0,9752;1.339,00;48,99;4.862,57;676.2960205078
108;2/7/16;1326;0,00744;141,369;39257;1382;0,24;978416609;11,989;4713667;0,1502;1,1135;0,9752;1.339,00;48,99;4.862,57;703.7020263672
109;3/7/16;1061;0,00916;153,323;39757;1404;0,238;968080718;11,858;4713560;0,1502;1,1135;0,9752;1.339,00;49,01;4.862,57;658.6640014648
110;4/7/16;933;0,00773;337,963;39950;1415;0,237;942191234;11,537;4712411;0,15;1,1154;0,9748;1.358,70;48,65;4.862,57;683.6619873047
111;5/7/16;1128;0,00803;958,644;39270;1470;0,242;854376074;10,457;4711458;0,1497;1,1075;0,9828;1.358,70;46,6;4.822,90;670.6270141602
112;6/7/16;1020;0,00828;296,119;37900;1409;0,237;863933629;10,57;4711333;0,1494;1,1099;0,9868;1.367,10;47,43;4.859,16;677.3309936523
113;7/7/16;1186;0,00661;244,879;40433;1414;0,239;821120714;10,042;4711678;0,1497;1,1059;0,9919;1.362,10;45,14;4.876,81;640.5620117188
114;8/7/16;1122;0,00965;169,298;42506;1581;0,24;853029814;10,428;4711337;0,1495;1,1052;0,9944;1.358,40;45,41;4.956,76;666.5230102539
115;9/7/16;817;0,0133;160,395;40410;1417;0,235;895684096;10,946;4711317;0,1495;1,1052;0,9944;1.358,40;45,41;4.956,76;650.9600219727
116;10/7/16;961;0,00762;183,196;39358;1407;0,238;888538357;10,854;4711269;0,1495;1,1052;0,9944;1.358,40;45,41;4.956,76;649.3599853516
117;11/7/16;1236;0,00781;220,581;38582;1421;0,239;864178440;10,552;4711087;0,1494;1,1056;0,9726;1.356,60;44,76;4.988,64;647.658996582
118;12/7/16;1087;0,00841;223,054;40811;1567;0,24;861189731;10,512;4711258;0,1495;1,1057;0,9551;1.335,30;46,8;5.022,82;664.5510253906
119;13/7/16;934;0,00722;275,024;35740;1357;0,237;854812143;10,43;4710676;0,1495;1,1088;0,9568;1.343,60;44,75;5.005,73;654.4680175781
120;14/7/16;1023;0,00837;240,117;42809;1536;0,24;906276965;11,053;4710269;0,1496;1,1118;0,949;1.332,20;45,68;5.034,06;658.0780029297
121;15/7/16;1280;0,00843;1130;41110;1457;0,24;975174794;11,889;4709863;0,1495;1,1034;0,9537;1.327,40;45,95;5.029,59;663.2550048828
122;16/7/16;1102;0,00737;241,408;38062;1349;0,237;964196778;11,751;4711033;0,1495;1,1034;0,9537;1.327,40;45,95;5.029,59;660.7670288086
123;17/7/16;1330;0,00653;253,93;33914;1264;0,239;924879463;11,267;4710029;0,1495;1,1034;0,9537;1.327,40;45,95;5.029,59;679.458984375
124;18/7/16;1377;0,00741;826,461;39198;1397;0,236;929986022;11,325;4709453;0,1492;1,1071;0,9419;1.329,30;45,24;5.055,78;673.1060180664
125;19/7/16;1904;0,00745;2486;44184;1502;0,241;925442463;11,265;4712214;0,1494;1,1021;0,9422;1.332,30;44,65;5.036,37;672.8640136719
126;20/7/16;3555;0,018;3353;50631;1718;0,242;993034946;12,083;4711461;0,1497;1,1013;0,9357;1.319,30;44,94;5.089,93;665.6849975586
127;21/7/16;2207;0,00944;485,73;44882;1522;0,234;1018734736;12,391;4710519;0,1498;1,1023;0,9449;1.331,00;44,75;5.073,90;665.0120239258
128;22/7/16;2045;0,0104;844,79;48458;1641;0,242;1107653007;13,467;4711014;0,1497;1,0973;0,9426;1.323,40;44,19;5.100,16;650.6190185547
129;23/7/16;1362;0,0106;842,498;45006;1496;0,236;1186241439;14,417;4710949;0,1497;1,0973;0,9426;1.323,40;44,19;5.100,16;655.5560302734
130;24/7/16;2808;0,00858;2944;58215;1797;0,243;1100467538;13,37;4710831;0,1497;1,0973;0,9426;1.323,40;44,19;5.100,16;661.2849731445
131;25/7/16;2338;0,00957;2382;54856;1737;0,239;1096409393;13,315;4711126;0,1497;1,099;0,9451;1.319,50;43,13;5.097,63;654.0969848633
132;26/7/16;2943;0,00942;4308;61930;1946;0,248;1056867401;12,83;4711168;0,1499;1,0986;0,9554;1.320,80;42,92;5.110,05;651.783996582
133;27/7/16;2343;0,00911;2971;53035;1706;0,233;1041085920;12,634;4710791;0,1499;1,1055;0,9487;1.326,70;41,92;5.139,81;654.3519897461
134;28/7/16;1948;0,0168;2002;48555;1610;0,237;1048770798;12,722;4710949;0,1502;1,1074;0,9498;1.341,20;41,14;5.154,98;655.0349731445
135;29/7/16;2028;0,0123;1433;47243;1598;0,241;1045737019;12,68;4711545;0,1507;1,117;0,9795;1.357,50;41,6;5.162,13;656.9920043945
136;30/7/16;1618;0,00903;1133;42011;1460;0,241;1043222045;12,645;4710901;0,1507;1,117;0,9795;1.357,50;41,6;5.162,13;655.0469970703
137;31/7/16;1574;0,00757;903,552;48749;1585;0,239;1003152775;12,154;4710794;0,1507;1,117;0,9795;1.357,50;41,6;5.162,13;624.6810302734
138;1/8/16;1862;0,00766;1370;45978;1561;0,242;955700497;11,575;4711025;0,1505;1,1159;0,9765;1.359,60;40,06;5.184,20;606.2719726563
139;2/8/16;3703;0,00706;2112;49041;1687;0,244;841904406;10,193;4710455;0,1509;1,1225;0,991;1.372,60;39,51;5.137,73;547.4650268555
140;3/8/16;1734;0,0064;1697;49475;1665;0,241;792184886;9,587;4710898;0,1507;1,1147;0,9877;1.364,70;40,83;5.159,74;566.3549804688
141;4/8/16;1466;0,00742;843,334;46761;1617;0,233;884895808;10,705;4710665;0,1505;1,1128;0,9878;1.367,40;41,93;5.166,25;578.2890014648
142;5/8/16;1850;0,00744;1061;43212;1527;0,237;904147637;10,934;4710698;0,1502;1,1085;0,9821;1.344,40;41,8;5.221,12;575.0430297852
143;6/8/16;1036;0,00672;467,262;41487;1465;0,241;884813943;10,696;4711247;0,1502;1,1085;0,9821;1.344,40;41,8;5.221,12;587.7780151367
144;7/8/16;970;0,00703;532,821;42955;1473;0,237;902254055;10,902;4711547;0,1502;1,1085;0,9821;1.344,40;41,8;5.221,12;592.6900024414
145;8/8/16;1441;0,0137;542,116;42984;1504;0,238;906764394;10,952;4711440;0,1502;1,109;0,976;1.341,30;43,02;5.213,14;591.0540161133
146;9/8/16;1517;0,0078;785,552;47057;1592;0,235;966164871;11,665;4711480;0,1502;1,1117;0,9814;1.346,70;42,77;5.225,48;587.8010253906
147;10/8/16;1293;0,00879;1268;46290;1607;0,238;1008675053;12,174;4711080;0,1507;1,1174;0,9872;1.351,90;41,71;5.204,59;592.1030273438
148;11/8/16;1467;0,00789;957,2;48171;1621;0,237;981696932;11,844;4710417;0,1509;1,1135;0,9808;1.350,00;43,49;5.228,40;589.1199951172
149;12/8/16;1586;0,00803;610,577;44400;1559;0,239;978730719;11,803;4711106;0,1507;1,1158;0,987;1.343,20;44,49;5.232,90;587.5590209961
150;13/8/16;1400;0,00712;566,919;41088;1431;0,239;967641467;11,665;4711142;0,1507;1,1158;0,987;1.343,20;44,49;5.232,90;585.5880126953
151;14/8/16;1219;0,00683;454,603;40577;1406;0,239;950237130;11,451;4711301;0,1507;1,1158;0,987;1.343,20;44,49;5.232,90;570.4730224609
152;15/8/16;1396;0,00717;378,196;42302;1467;0,236;927021382;11,167;4710725;0,1507;1,1183;0,9875;1.347,50;45,74;5.262,02;567.2399902344
153;16/8/16;1516;0,00709;212,477;48949;1621;0,238;924911223;11,137;4711205;0,151;1,1276;0,9968;1.356,90;46,58;5.227,11;577.4390258789
154;17/8/16;1285;0,00702;431,932;44867;1532;0,24;911962157;10,977;4711333;0,1507;1,1286;0,997;1.348,80;46,79;5.228,66;573.216003418
155;18/8/16;1372;0,0082;269,657;47799;1663;0,236;903443263;10,87;4711047;0,1508;1,1352;1,001;1.357,20;48,22;5.240,15;574.3179931641
156;19/8/16;1246;0,00746;256,615;42948;1491;0,239;893350975;10,745;4709864;0,1503;1,1325;0,9976;1.346,20;48,52;5.238,38;575.6300048828
157;20/8/16;978;0,00714;415,944;41318;1453;0,238;922358675;11,089;4710609;0,1503;1,1325;0,9976;1.346,20;48,52;5.238,38;581.6970214844
158;21/8/16;938;0,00756;925,6;42543;1480;0,237;922282737;11,084;4710156;0,1503;1,1325;0,9976;1.346,20;48,52;5.238,38;581.3079833984
159;22/8/16;968;0,00757;565,56;44250;1526;0,237;932074072;11,197;4710135;0,1504;1,1315;0,9965;1.343,40;47,05;5.244,60;586.7529907227
160;23/8/16;1294;0,0165;1024;48430;2023;0,239;921383989;11,064;4709295;0,1506;1,1303;0,9974;1.346,10;48,1;5.260,08;583.4149780273
161;24/8/16;1296;0,00708;236,185;46821;1590;0,238;920450985;11,049;4709493;0,1502;1,1261;0,9954;1.329,70;46,77;5.217,69;580.1820068359
162;25/8/16;1485;0,00728;207,24;49868;1663;0,236;931502412;11,177;4709477;0,1502;1,1279;0,9946;1.324,60;47,33;5.212,20;577.7609863281
163;26/8/16;1590;0,00755;468,032;47292;1610;0,24;942663999;11,307;4709561;0,1499;1,1195;0,9818;1.325,90;47,64;5.218,92;579.6510009766
164;27/8/16;1103;0,00669;225,574;47938;1586;0,237;935699989;11,219;4709742;0,1499;1,1195;0,9818;1.325,90;47,64;5.218,92;569.9470214844
165;28/8/16;1288;0,00667;215,059;42607;1451;0,239;921323481;11,042;4709810;0,1499;1,1195;0,9818;1.325,90;47,64;5.218,92;573.9119873047
166;29/8/16;4367;0,00708;287,226;45510;1572;0,239;915037080;10,963;4709892;0,1497;1,1188;0,9811;1.327,10;46,98;5.232,33;574.1069946289
167;30/8/16;1240;0,00763;202,963;46979;1616;0,239;928248352;11,117;4709163;0,1497;1,1141;0,9711;1.316,50;46,35;5.222,99;577.5029907227
168;31/8/16;1228;0,00742;270,251;45846;1538;0,237;947236193;11,34;4709169;0,1497;1,1156;0,9668;1.311,40;44,7;5.213,22;575.4719848633
169;1/9/16;1287;0,00813;507,632;47491;1583;0,24;1016337011;12,163;4708806;0,1499;1,1196;0,9684;1.317,10;43,16;5.227,21;572.3029785156
170;2/9/16;1191;0,00984;382,011;55413;1850;0,237;1008215787;12,061;4709322;0,1497;1,1153;0,9614;1.326,70;44,44;5.249,90;575.5369873047
171;3/9/16;943;0,00722;332,366;44792;1513;0,242;995453008;11,904;4708902;0,1497;1,1153;0,9614;1.326,70;44,44;5.249,90;598.2119750977
172;4/9/16;884;0,012;359,725;48128;1719;0,239;976186360;11,669;4708699;0,1497;1,1153;0,9614;1.326,70;44,11;5.249,90;608.633972168
173;5/9/16;1012;0,00785;222,921;42667;1512;0,237;978719947;11,695;4709998;0,1497;1,1144;0,9667;1.354,00;45,07;5.249,90;606.5900268555
174;6/9/16;1872;0,00787;227,9;49102;1722;0,24;968742916;11,571;4709819;0,1498;1,1252;0,9799;1.354,00;44,83;5.275,91;610.4359741211
